,plot,block,Inoculation,Cultivar,trt,19-May,21-May,23-May,25-May,27-May,29-May,31-May,2-Jun,4-Jun,6-Jun,8-Jun,10-Jun,13-Jun,15-Jun,17-Jun,20-Jun,22-Jun,24-Jun,27-Jun,29-Jun,1-Jul,4-Jul,7-Jul,11-Jul,14-Jul,18-Jul,21-Jul,25-Jul,29-Jul,2-Aug,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
26,10,1.0,Inoculated,"""007""",Non,0,0.0,0.0,0.0,0.0,0.0,254.34,125.6,77.715,154.645,147.58,58.09,105.975,469.43,350.11,427.04,156.215,156.215,222.94,420.76,712.78,657.83,614.655,1091.15,1248.15,1239.515,3047.37,2506.505,4264.12,7531.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,14,1.0,Non,"""007""",Non,0,0.0,0.0,58.09,47.885,0.0,47.885,264.545,194.68,67.51,173.485,67.51,39.25,255.125,175.84,144.44,39.25,67.51,39.25,117.75,337.55,381.51,362.67,688.445,517.315,1095.075,1726.215,842.305,2977.505,4412.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,25,2.0,Non,"""007""",Non,0,66.725,86.35,222.94,332.055,394.07,423.9,671.175,814.045,1649.285,1763.895,1607.68,1811.78,6090.815,6826.36,5283.05,3009.69,4553.0,2185.44,5991.12,11891.965,9887.86,7882.185,18041.655,12344.91,15454.295,29982.29,28471.165,41956.68,88394.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,47,2.0,Inoculated,"""007""",Non,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25,76.145,47.885,0.0,39.25,252.77,262.19,220.585,145.225,114.61,28.26,67.51,284.955,230.79,242.565,233.93,273.18,763.805,1118.625,548.715,1009.51,942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,51,3.0,Non,"""007""",Non,0,136.59,223.725,292.805,378.37,671.175,938.86,1126.475,2271.005,2730.23,4127.53,2869.96,2877.025,9390.955,9099.72,8322.57,4601.67,5249.295,3578.815,6996.705,13010.59,10066.84,8962.345,16116.835,15607.37,19800.055,25311.54,28742.775,47435.98,81252.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,64,3.0,Inoculated,"""007""",Non,0,39.25,47.885,243.35,243.35,225.295,242.565,175.84,430.18,243.35,349.325,224.51,117.75,360.315,306.15,235.5,157.0,226.08,144.44,317.14,780.29,755.955,534.585,1961.715,1246.58,1750.55,4978.47,3148.635,11817.39,22800.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,84,4.0,Inoculated,"""007""",Non,0,0.0,0.0,58.09,47.885,0.0,28.26,66.725,172.7,167.205,153.86,114.61,105.975,196.25,317.14,299.87,153.86,145.225,86.35,156.215,507.895,435.675,340.69,1033.06,679.025,772.44,1314.875,1367.47,2129.705,3166.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,89,4.0,Non,"""007""",Non,0,0.0,0.0,193.895,145.225,123.245,173.485,153.86,279.46,573.835,351.68,270.04,311.645,733.975,1366.685,912.955,270.825,511.035,655.475,608.375,2138.34,1456.96,1401.225,2790.675,1980.555,3172.97,6018.595,4910.96,8247.21,9602.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,1.0,Inoculated,Coho,Non,0,0.0,0.0,0.0,0.0,0.0,58.09,299.085,251.985,421.545,471.0,191.54,317.925,974.97,1365.115,1088.01,410.555,600.525,284.955,866.64,1949.155,1522.9,1752.12,4336.34,3963.465,3236.555,7402.55,7134.865,10711.325,21910.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20,1.0,Non,Coho,Non,0,47.885,114.61,164.065,372.09,493.765,767.73,1110.775,2098.305,2793.03,2815.795,1942.875,2409.95,5560.94,5977.775,4998.88,3236.555,4188.76,2422.51,3995.65,6727.45,6952.745,6467.615,10315.685,7875.905,14233.62,20716.15,15999.085,29043.43,62935.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
