plot,block,Inoculation,Cultivar,trt,23-May,25-May,27-May,29-May,31-May,1-Jun,4-Jun,6-Jun,8-Jun,9-Jun,12-Jun,14-Jun,16-Jun,19-Jun,21-Jun,23-Jun,26-Jun,28-Jun,30-Jun,3-Jul,7-Jul,10-Jul,13-Jul,17-Jul,20-Jul,,,
,,,,,Dollar spot damaged area (mm2),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Arrest,"""007""",B,0,0,0,0,0,0,0,0,0,0,0,0,0,242.565,66.725,0,98.125,259.835,658.615,401.135,1320.37,1520.545,3236.555,3043.445,3441.44,,,
24,2,Well,"""007""",B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.61,497.69,904.32,591.89,1909.12,2986.925,3437.515,4954.135,7520.3,,,
32,3,Well,"""007""",B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.865,117.75,741.04,960.055,1496.21,2107.725,,,
96,4,Well,"""007""",B,0,0,0,0,67.51,66.725,66.725,0,38.465,50.24,50.24,78.5,208.025,167.99,221.37,138.945,106.76,420.76,496.905,136.59,823.465,1087.225,1259.925,1918.54,1646.145,,,
47,3,Arrest,"""007""",B,0,0,0,0,66.725,50.24,0,0,0,0,0,0,0,88.705,38.465,58.875,76.93,320.28,600.525,394.855,2778.9,5299.535,6911.14,9157.025,12780.585,,,
49,1,Well,"""007""",B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.725,148.365,105.19,77.715,105.975,394.855,,,
63,2,Arrest,"""007""",B,0,0,0,0,0,0,0,0,0,0,0,0,0,233.93,253.555,117.75,558.135,1600.615,1946.015,2319.675,8263.695,16510.12,15305.145,24397.8,29177.665,,,
77,4,Arrest,"""007""",B,0,0,0,0,28.26,38.465,78.5,0,0,0,0,0,136.59,98.125,69.865,117.75,541.65,1129.615,1332.145,1023.64,4574.195,10015.815,11426.46,17401.88,20577.205,,,
4,1,Arrest,Coho,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.965,155.43,0,189.185,98.125,128.74,108.33,,,
16,2,Well,Coho,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.705,0,255.91,572.265,498.475,642.915,1150.025,,,
36,3,Well,Coho,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.57,1090.365,1206.545,1391.805,1780.38,,,
40,3,Arrest,Coho,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.495,1289.755,981.25,1599.045,1460.1,,,
58,1,Well,Coho,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.125,38.465,98.125,58.09,,,
67,2,Arrest,Coho,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.09,486.7,674.315,651.55,1634.37,,,
73,4,Arrest,Coho,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.64,406.63,653.905,573.05,,,
90,4,Well,Coho,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.215,136.59,243.35,144.44,,,
10,1,Arrest,Indep,B,251.2,317.14,468.645,461.58,301.44,301.44,423.9,232.36,268.47,145.225,146.795,138.945,1201.05,1719.935,2322.815,1294.465,5553.875,9009.445,11953.195,8569.845,27017.345,45427.165,50492.77,56950.965,70816.42,,,
19,2,Well,Indep,B,0,0,0,66.725,66.725,66.725,66.725,0,0,0,0,0,0,0,0,0,58.09,270.04,395.64,270.04,1671.265,3351.165,4933.725,6658.37,10745.865,,,
27,3,Well,Indep,B,0,0,0,0,0,0,0,0,0,0,0,0,183.69,405.845,422.33,371.305,981.25,1930.315,1930.315,1346.275,4688.805,10090.39,11257.685,17003.1,16892.415,,,
44,3,Arrest,Indep,B,0,0,0,0,0,0,0,0,0,0,0,0,292.02,0,58.09,0,527.52,1802.36,3764.075,3304.85,8299.805,17147.54,22975.38,31765.81,38842.585,,,
54,1,Well,Indep,B,0,0,0,0,0,0,0,0,0,0,0,0,148.365,438.03,495.335,156.215,509.465,828.175,1351.77,703.36,3454,6663.865,7641.19,10464.05,14890.665,,,
71,2,Arrest,Indep,B,0,0,0,195.465,217.445,725.34,814.045,722.985,173.485,38.465,0,268.47,2398.175,929.44,2002.535,1544.88,977.325,3555.265,3981.52,2232.54,15371.87,24254.93,33439.43,49226.565,61295.94,,,
81,4,Arrest,Indep,B,0,0,0,191.54,292.02,195.465,88.705,0,0,0,0,270.04,412.91,613.085,696.295,813.26,1458.53,3013.615,5179.43,4162.855,17216.62,35338.345,37512.01,63724.73,66345.845,,,
85,4,Well,Indep,B,0,0,0,0,0,0,0,0,0,0,0,0,134.235,0,0,47.885,226.08,817.185,898.825,713.565,3266.385,6946.465,4911.745,13035.71,14489.53,,,
