,plot,block,Inoculation,Cultivar,trt,23-May,25-May,27-May,29-May,31-May,1-Jun,4-Jun,6-Jun,8-Jun,9-Jun,12-Jun,14-Jun,16-Jun,19-Jun,21-Jun,23-Jun,26-Jun,28-Jun,30-Jun,3-Jul,7-Jul,10-Jul,13-Jul,17-Jul,20-Jul,Unnamed: 30,Unnamed: 31,Unnamed: 32
74,6,1.0,Arrest,"""007""",Non,0,0.0,0.0,0.0,0.0,0.0,387.005,285.74,123.245,105.19,116.965,273.965,548.715,1753.69,1468.735,379.155,2740.435,8507.045,8362.605,6801.24,41443.29,55094.44,64718.54,80941.35,108316.655,,,
75,22,2.0,Well,"""007""",Non,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,554.21,653.12,445.88,1609.25,3446.935,3462.635,2829.14,7743.24,13002.74,15437.81,21340.225,27448.31,,,
76,30,3.0,Well,"""007""",Non,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.35,438.03,485.915,309.29,1221.46,3436.73,4067.085,4921.165,5284.62,,,
77,46,3.0,Arrest,"""007""",Non,0,0.0,0.0,0.0,0.0,0.0,0.0,108.33,56.52,0.0,38.465,0.0,0.0,533.8,1018.93,224.51,2451.555,4876.42,7423.745,8836.745,30472.915,60216.565,71246.6,91743.735,97942.88,,,
78,52,1.0,Well,"""007""",Non,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.465,100.48,0.0,348.54,559.705,735.545,461.58,2906.07,4583.615,6099.45,6410.31,8196.97,,,
79,64,2.0,Arrest,"""007""",Non,0,0.0,0.0,245.705,245.705,524.38,641.345,500.83,293.59,358.745,388.575,445.88,6694.48,10471.115,7710.27,8431.685,34055.655,82016.015,88498.545,53986.02,184823.54,290599.935,238417.845,395870.005,484239.81,,,
80,78,4.0,Arrest,"""007""",Non,0,0.0,0.0,88.705,292.02,361.1,167.205,163.28,98.125,78.5,146.795,108.33,1490.715,2367.56,2927.265,2603.06,7052.44,14178.67,21188.72,21696.615,69014.06,139809.285,172961.405,213784.545,267527.215,,,
81,93,4.0,Well,"""007""",Non,0,0.0,0.0,128.74,189.185,128.74,116.965,105.19,0.0,76.93,105.19,177.41,202.53,262.19,376.015,192.325,312.43,481.205,622.505,409.77,1851.03,3601.58,3903.02,5262.64,6685.845,,,
82,2,1.0,Arrest,Coho,Non,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.885,105.19,339.905,270.825,1301.53,3306.42,3115.665,2239.605,3158.055,,,
83,15,2.0,Well,Coho,Non,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.465,38.465,78.5,0.0,449.805,1330.575,1221.46,1657.135,2019.02,,,
